sacc pident length qstart qend sstart send bitscore evalue stitle
KF297339.1	100.000	18231	1	18231	138616	120386	33667	0.0
JX512204.1	100.000	18231	1	18231	138028	119798	33667	0.0
EF999921.1	100.000	18231	1	18231	170657	152427	33667	0.0
MT070140.1	100.000	18231	1	18231	138387	120157	33667	0.0
MW439038.1	100.000	18231	1	18231	138015	119785	33667	0.0
MW439039.1	100.000	18231	1	18231	138015	119785	33667	0.0
MT044484.1	99.989	18231	1	18231	137968	119738	33656	0.0
KX544839.1	99.951	18231	1	18231	170612	152388	33611	0.0
MT044481.1	99.775	18231	1	18231	138216	119988	33438	0.0
KP745712.1	99.583	18232	1	18231	137942	119714	33244	0.0
KR534196.1	99.528	18231	1	18231	137947	119717	33190	0.0
KY490073.1	99.501	18231	1	18231	137718	119488	33163	0.0
KY490074.1	99.501	18231	1	18231	138182	119952	33163	0.0
ON119194.1	99.479	18244	1	18231	138256	120017	33148	0.0
KY123650.1	99.479	18231	1	18231	138225	119995	33141	0.0
KY490084.1	99.479	18231	1	18231	137757	119528	33139	0.0
KR534201.1	99.463	18243	1	18231	137845	119603	33135	0.0
KJ361965.1	99.468	18231	1	18231	138255	120025	33130	0.0
KP745652.1	99.451	18231	1	18231	138266	120040	33109	0.0
KP745654.1	99.441	18244	1	18231	137832	119593	33109	0.0
KX544840.1	99.451	18231	1	18231	167687	149460	33109	0.0
MW528458.1	99.435	18243	1	18231	138110	119868	33107	0.0
KP745680.1	99.446	18231	1	18231	138140	119913	33104	0.0
KP745688.1	99.446	18231	1	18231	137878	119651	33104	0.0
KP745693.1	99.446	18231	1	18231	138114	119887	33104	0.0
KP745719.1	99.446	18231	1	18231	138138	119911	33104	0.0
KJ361956.1	99.435	18244	1	18231	137535	119296	33104	0.0
KP745711.1	99.441	18232	1	18231	138019	119791	33100	0.0
KP745666.1	99.441	18231	1	18231	138128	119901	33098	0.0
KP745670.1	99.441	18231	1	18231	138123	119896	33098	0.0
GQ466044.1	99.435	18232	1	18231	138326	120098	33094	0.0
KP745665.1	99.435	18231	1	18231	138060	119833	33093	0.0
KP745692.1	99.435	18231	1	18231	138025	119798	33093	0.0
KJ361961.1	99.424	18243	1	18231	138075	119837	33093	0.0
KP745720.1	99.419	18243	1	18231	138197	119955	33091	0.0
KP745642.1	99.430	18232	1	18231	137967	119739	33089	0.0
KP745657.1	99.419	18243	1	18231	138181	119942	33087	0.0
JX512207.1	99.408	18243	1	18231	138326	120084	33080	0.0
KR534198.1	99.408	18243	1	18231	138168	119926	33080	0.0
KY490077.1	99.408	18243	1	18231	137922	119680	33080	0.0
AC146907.1	99.408	18243	1	18231	89970	108209	33076	0.0
GU179289.1	99.408	18243	1	18231	138069	119830	33076	0.0
KP745710.1	99.408	18243	1	18231	138321	120083	33076	0.0
JX512201.1	99.408	18243	1	18231	138139	119901	33076	0.0
MT070141.1	99.408	18243	1	18231	136469	118230	33076	0.0
MT070142.1	99.408	18243	1	18231	136654	118415	33076	0.0
GU179288.1	99.403	18244	1	18231	138171	119928	33074	0.0
KP745636.1	99.413	18232	1	18231	138538	120307	33074	0.0
JX512203.1	99.403	18243	1	18231	138191	119949	33074	0.0
GQ396663.1	99.403	18243	1	18231	138023	119787	33069	0.0
KP745679.1	99.408	18231	1	18231	138038	119808	33069	0.0
MN274568.2	99.408	18232	1	18231	138244	120016	33067	0.0
MT894141.2	99.408	18232	1	18231	138246	120018	33067	0.0
KC519320.1	99.392	18243	1	18231	137987	119745	33063	0.0
KP745716.1	99.392	18243	1	18231	137946	119704	33063	0.0
